FlowCell Text Data File: 85.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:12:09
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
626568.267, 335242.233, 20.58, 0.673932, , 
626104.333, 335151.867, 20.68, 0.674992, , 
625920.400, 335187.400, 20.78, 0.675892, , 
625875.467, 335196.233, 20.88, 0.676113, , 
626141.067, 335133.000, 20.98, 0.674733, , 
625897.900, 335134.000, 21.08, 0.675614, , 
625949.500, 335183.533, 21.18, 0.675761, , 
625132.267, 335152.133, 21.28, 0.678490, , 
624772.500, 335107.867, 21.38, 0.679489, , 
624047.600, 335230.233, 21.47, 0.682923, , 
622666.967, 335138.900, 21.57, 0.687294, , 
622304.033, 335192.867, 21.67, 0.688968, , 
621164.900, 335124.767, 21.77, 0.692634, , 
619696.033, 335128.933, 21.87, 0.697990, , 
617586.100, 335113.267, 21.97, 0.705560, , 
615254.333, 335030.000, 22.07, 0.713514, , 
612331.233, 334992.200, 22.17, 0.723977, , 
609205.633, 334912.633, 22.27, 0.734959, , 
605473.833, 334957.600, 22.37, 0.749089, , 
601516.633, 335072.200, 22.47, 0.764616, , 
597285.900, 335160.500, 22.57, 0.781093, , 
592382.867, 335188.233, 22.67, 0.799829, , 
587346.467, 335138.433, 22.77, 0.818709, , 
582175.567, 335192.800, 22.87, 0.838975, , 
576691.367, 335181.100, 22.96, 0.860196, , 
570692.800, 335150.867, 23.06, 0.883524, , 
564989.367, 335168.933, 23.17, 0.906249, , 
558496.067, 335047.467, 23.26, 0.931447, , 
552155.467, 335173.500, 23.36, 0.957988, , 
545157.900, 335070.000, 23.46, 0.985996, , 
538077.767, 335053.100, 23.56, 1.015301, , 
530584.967, 335180.467, 23.66, 1.047714, , 
522487.433, 335160.133, 23.76, 1.082187, , 
514498.367, 335168.867, 23.86, 1.116922, , 
506047.933, 335134.833, 23.96, 1.153963, , 
497615.567, 335112.000, 24.06, 1.191625, , 
489658.800, 335093.333, 24.16, 1.227774, , 
482570.367, 335277.567, 24.26, 1.261827, , 
475504.000, 335140.867, 24.36, 1.294107, , 
469466.433, 335120.367, 24.46, 1.322726, , 
464665.067, 335154.467, 24.56, 1.346090, , 
460599.067, 335190.667, 24.65, 1.366111, , 
457571.033, 335161.200, 24.75, 1.380757, , 
455743.667, 335130.833, 24.86, 1.389559, , 
454691.233, 335063.367, 24.96, 1.394308, , 
455018.567, 335039.167, 25.05, 1.392526, , 
456328.567, 335139.300, 25.15, 1.386729, , 
458717.867, 335123.367, 25.25, 1.374870, , 
461628.433, 335100.067, 25.35, 1.360479, , 
465756.467, 335233.567, 25.45, 1.341341, , 
470187.200, 335276.900, 25.55, 1.320325, , 
475265.800, 335140.533, 25.65, 1.295232, , 
480806.833, 335145.767, 25.75, 1.269182, , 
486613.567, 335049.967, 25.85, 1.241522, , 
492862.833, 335022.233, 25.95, 1.212619, , 
499517.300, 335066.100, 26.05, 1.182733, , 
505583.133, 335027.033, 26.15, 1.155307, , 
511370.367, 334994.233, 26.25, 1.129473, , 
517911.433, 335077.333, 26.35, 1.101428, , 
524807.467, 335170.833, 26.45, 1.072289, , 
530735.267, 335187.800, 26.54, 1.047126, , 
536269.700, 335184.867, 26.64, 1.023760, , 
541652.400, 335095.900, 26.74, 1.000687, , 
547362.333, 335208.900, 26.85, 0.977847, , 
552205.967, 335228.767, 26.94, 0.958154, , 
556893.667, 335087.100, 27.04, 0.938179, , 
561534.067, 335140.733, 27.14, 0.919865, , 
565342.400, 335055.100, 27.24, 0.904079, , 
568795.800, 335036.300, 27.34, 0.890247, , 
572054.867, 335027.433, 27.44, 0.877330, , 
576122.167, 335057.567, 27.54, 0.861589, , 
579191.033, 335169.333, 27.64, 0.850384, , 
581950.133, 335173.967, 27.74, 0.839720, , 
585362.600, 335204.233, 27.84, 0.826765, , 
587870.667, 335118.933, 27.94, 0.816571, , 
590184.533, 335136.733, 28.03, 0.807850, , 
