FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
733670.067, 332110.200, 13.00, 0.429332, , 
732571.467, 332064.000, 13.11, 0.432391, , 
730878.500, 331918.300, 13.20, 0.436611, , 
729518.133, 332066.467, 13.30, 0.441808, , 
727154.967, 332023.633, 13.40, 0.448819, , 
724561.400, 332149.200, 13.50, 0.457711, , 
721011.067, 332004.533, 13.60, 0.467785, , 
716653.167, 331949.067, 13.70, 0.481052, , 
712174.167, 332021.333, 13.80, 0.495651, , 
706018.833, 331989.533, 13.90, 0.514971, , 
699685.333, 332032.233, 14.00, 0.535539, , 
691564.633, 331999.667, 14.10, 0.561590, , 
682861.500, 331946.100, 14.20, 0.589728, , 
672660.200, 331882.400, 14.30, 0.623169, , 
662353.900, 332008.900, 14.39, 0.658774, , 
650528.967, 331964.267, 14.50, 0.699011, , 
637924.067, 331881.833, 14.59, 0.742485, , 
625078.400, 331984.333, 14.69, 0.788959, , 
611135.533, 331967.033, 14.79, 0.839608, , 
598009.967, 332015.100, 14.89, 0.888794, , 
583810.033, 331879.800, 14.99, 0.941958, , 
570815.700, 331863.633, 15.09, 0.992504, , 
557633.533, 331959.300, 15.19, 1.045733, , 
545614.033, 332062.633, 15.29, 1.095471, , 
533746.567, 332022.567, 15.39, 1.144688, , 
523293.633, 332013.000, 15.49, 1.189133, , 
