FlowCell Text Data File: 85.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:25:34
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
666852.467, 334445.500, 12.12, 0.528350, , 
667472.600, 334422.633, 12.22, 0.526104, , 
668570.367, 334449.800, 12.32, 0.522589, , 
669221.133, 334531.333, 12.42, 0.520948, , 
669757.467, 334265.500, 12.52, 0.517356, , 
669819.233, 334317.633, 12.62, 0.517499, , 
670407.500, 334324.533, 12.72, 0.515570, , 
671771.933, 334443.067, 12.82, 0.511793, , 
671042.200, 334341.467, 12.91, 0.513555, , 
672716.400, 334385.433, 13.01, 0.508243, , 
672054.567, 334318.967, 13.12, 0.510011, , 
672787.967, 334306.100, 13.21, 0.507470, , 
672854.433, 334418.367, 13.31, 0.508003, , 
673371.400, 334536.233, 13.41, 0.507068, , 
672483.933, 334323.500, 13.51, 0.508604, , 
671923.100, 334262.000, 13.61, 0.510068, , 
672745.067, 334379.700, 13.71, 0.508109, , 
671526.300, 334358.733, 13.81, 0.512048, , 
670813.200, 334412.300, 13.91, 0.514800, , 
670089.367, 334493.800, 14.01, 0.517778, , 
667468.967, 334549.567, 14.11, 0.526970, , 
665449.300, 334496.633, 14.21, 0.533434, , 
662695.100, 334593.433, 14.31, 0.543419, , 
658060.500, 334655.000, 14.41, 0.559627, , 
653574.067, 334453.667, 14.51, 0.573668, , 
648291.767, 334408.567, 14.61, 0.591627, , 
642126.900, 334456.000, 14.71, 0.613448, , 
634063.967, 334537.333, 14.80, 0.642432, , 
625444.100, 334435.100, 14.90, 0.672548, , 
615627.933, 334447.633, 15.01, 0.708233, , 
604786.833, 334369.867, 15.10, 0.747692, , 
593104.600, 334518.400, 15.20, 0.792587, , 
580607.900, 334598.667, 15.30, 0.841050, , 
567336.400, 334544.167, 15.40, 0.892721, , 
553497.833, 334565.833, 15.50, 0.948440, , 
539872.433, 334530.700, 15.60, 1.004296, , 
524992.133, 334572.200, 15.70, 1.067474, , 
509633.567, 334554.100, 15.80, 1.134170, , 
495095.000, 334575.200, 15.90, 1.199445, , 
480981.533, 334629.767, 16.00, 1.264897, , 
466671.733, 334623.133, 16.10, 1.332821, , 
454896.033, 334624.600, 16.20, 1.390346, , 
443677.167, 334510.367, 16.30, 1.445775, , 
432132.833, 334515.067, 16.40, 1.505137, , 
422463.667, 334550.033, 16.50, 1.556299, , 
413481.233, 334538.933, 16.59, 1.604589, , 
406097.767, 334617.000, 16.69, 1.645663, , 
399815.167, 334591.800, 16.80, 1.680581, , 
395636.300, 334526.433, 16.89, 1.703787, , 
393242.700, 334501.700, 16.99, 1.717277, , 
391592.633, 334528.233, 17.09, 1.726918, , 
390894.533, 334452.233, 17.19, 1.730423, , 
391842.900, 334585.467, 17.29, 1.725866, , 
393737.300, 334562.767, 17.39, 1.714859, , 
396854.900, 334611.767, 17.49, 1.697440, , 
400931.800, 334514.200, 17.59, 1.673783, , 
406199.367, 334417.967, 17.69, 1.643761, , 
411793.200, 334418.267, 17.79, 1.612983, , 
418588.800, 334311.600, 17.89, 1.575431, , 
425770.500, 334359.533, 17.99, 1.537470, , 
434507.367, 334263.433, 18.08, 1.491112, , 
443395.300, 334206.033, 18.19, 1.445157, , 
452962.533, 334232.533, 18.29, 1.397293, , 
462960.667, 334268.400, 18.38, 1.348402, , 
472465.000, 334350.700, 18.48, 1.303223, , 
482495.533, 334372.867, 18.58, 1.256096, , 
492695.667, 334308.233, 18.68, 1.208581, , 
501562.600, 334382.333, 18.78, 1.168940, , 
510534.167, 334403.533, 18.88, 1.129184, , 
519054.167, 334573.700, 18.98, 1.093083, , 
525425.567, 334525.733, 19.08, 1.065304, , 
531916.967, 334420.933, 19.18, 1.036966, , 
537217.633, 334467.600, 19.28, 1.014965, , 
541124.133, 334518.800, 19.38, 0.999004, , 
545019.500, 334414.567, 19.48, 0.982161, , 
546483.267, 334464.700, 19.58, 0.976462, , 
548450.133, 334497.000, 19.68, 0.968594, , 
548670.800, 334435.133, 19.78, 0.967273, , 
549459.267, 334519.467, 19.88, 0.964609, , 
549127.100, 334461.433, 19.97, 0.965579, , 
549415.167, 334498.967, 20.07, 0.964651, , 
548422.400, 334429.500, 20.18, 0.968254, , 
547936.200, 334475.467, 20.27, 0.970559, , 
547114.800, 334524.767, 20.37, 0.974267, , 
546304.700, 334486.233, 20.47, 0.977343, , 
545333.200, 334439.767, 20.57, 0.981035, , 
545255.200, 334462.067, 20.67, 0.981507, , 
544682.767, 334547.367, 20.77, 0.984445, , 
544547.300, 334560.033, 20.87, 0.985090, , 
544046.567, 334481.067, 20.97, 0.986629, , 
543706.300, 334489.900, 21.07, 0.988097, , 
543697.633, 334427.033, 21.17, 0.987709, , 
543251.467, 334357.733, 21.27, 0.989091, , 
543252.833, 334480.467, 21.37, 0.989911, , 
542673.967, 334572.900, 21.46, 0.992932, , 
541777.567, 334532.700, 21.57, 0.996382, , 
539861.233, 334406.167, 21.67, 1.003505, , 
538452.167, 334615.133, 21.76, 1.010792, , 
535994.567, 334588.800, 21.86, 1.020910, , 
533266.933, 334466.333, 21.97, 1.031567, , 
529617.500, 334377.800, 22.06, 1.046426, , 
526027.800, 334429.233, 22.16, 1.062077, , 
521477.067, 334406.233, 22.26, 1.081476, , 
517162.667, 334413.733, 22.36, 1.100222, , 
512560.633, 334466.733, 22.46, 1.120694, , 
507325.900, 334328.033, 22.56, 1.142863, , 
502485.467, 334441.300, 22.66, 1.165200, , 
497294.233, 334377.567, 22.76, 1.188141, , 
492335.100, 334520.333, 22.86, 1.211656, , 
487198.733, 334545.567, 22.96, 1.235427, , 
482015.733, 334484.867, 23.06, 1.259088, , 
477018.333, 334503.833, 23.16, 1.282669, , 
471872.000, 334503.100, 23.25, 1.307075, , 
466615.600, 334429.233, 23.36, 1.331788, , 
461028.867, 334350.367, 23.46, 1.358364, , 
455722.867, 334406.300, 23.55, 1.384791, , 
450205.433, 334429.633, 23.65, 1.412360, , 
444571.067, 334468.833, 23.75, 1.440966, , 
438534.700, 334408.500, 23.85, 1.471326, , 
433148.200, 334341.167, 23.95, 1.498686, , 
428279.767, 334282.600, 24.05, 1.523729, , 
423410.233, 334272.367, 24.15, 1.549394, , 
419723.867, 334252.467, 24.25, 1.568939, , 
416465.400, 334245.233, 24.35, 1.586429, , 
413996.100, 334318.233, 24.45, 1.600303, , 
412555.300, 334304.133, 24.55, 1.608054, , 
411926.667, 334316.467, 24.65, 1.611569, , 
412224.733, 334259.967, 24.75, 1.609561, , 
413362.300, 334199.600, 24.85, 1.602953, , 
415688.233, 334173.300, 24.95, 1.590148, , 
419029.233, 334318.933, 25.05, 1.573114, , 
422861.700, 334344.167, 25.14, 1.552794, , 
427040.767, 334257.067, 25.25, 1.530077, , 
432313.967, 334441.067, 25.35, 1.503696, , 
437545.567, 334392.767, 25.44, 1.476301, , 
443293.733, 334289.633, 25.54, 1.446235, , 
449463.833, 334383.000, 25.65, 1.415756, , 
454806.400, 334306.867, 25.74, 1.388652, , 
461863.067, 334387.100, 25.84, 1.354543, , 
468584.433, 334472.833, 25.94, 1.322606, , 
474932.667, 334438.067, 26.04, 1.292088, , 
481379.600, 334522.633, 26.14, 1.262314, , 
488132.500, 334503.433, 26.24, 1.230835, , 
494565.433, 334405.533, 26.34, 1.200712, , 
500090.967, 334411.633, 26.44, 1.175750, , 
505905.567, 334349.533, 26.54, 1.149317, , 
511682.933, 334509.167, 26.64, 1.124837, , 
517054.967, 334438.333, 26.74, 1.100857, , 
522272.167, 334429.433, 26.84, 1.078203, , 
527029.133, 334469.533, 26.93, 1.058068, , 
532128.967, 334467.533, 27.04, 1.036383, , 
536679.500, 334329.700, 27.13, 1.016292, , 
541651.567, 334384.800, 27.23, 0.995910, , 
546450.500, 334423.333, 27.33, 0.976319, , 
549633.133, 334412.200, 27.43, 0.963175, , 
553971.800, 334428.333, 27.53, 0.945589, , 
557356.467, 334443.567, 27.63, 0.931983, , 
561122.800, 334418.233, 27.73, 0.916657, , 
564396.700, 334438.367, 27.83, 0.903700, , 
566785.867, 334476.100, 27.93, 0.894448, , 
569185.800, 334450.333, 28.03, 0.884766, , 
571589.100, 334345.700, 28.13, 0.874579, , 
573270.700, 334357.800, 28.23, 0.868050, , 
575485.033, 334539.600, 28.33, 0.860597, , 
576795.967, 334533.967, 28.43, 0.855439, , 
578227.100, 334417.867, 28.53, 0.849081, , 
578565.600, 334391.900, 28.63, 0.847589, , 
579210.333, 334373.933, 28.73, 0.844962, , 
578995.933, 334407.967, 28.82, 0.846024, , 
578995.400, 334484.900, 28.93, 0.846544, , 
578762.067, 334349.467, 29.02, 0.846539, , 
577428.033, 334320.033, 29.12, 0.851534, , 
576589.800, 334313.500, 29.22, 0.854760, , 
574821.467, 334367.333, 29.32, 0.862034, , 
573117.100, 334439.367, 29.42, 0.869202, , 
570919.200, 334343.533, 29.52, 0.877204, , 
