FlowCell Text Data File: 39.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:40:51
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
674116.133, 334347.233, 12.12, 0.489731, , 
674758.533, 334392.200, 12.22, 0.487890, , 
675287.967, 334178.333, 12.32, 0.484685, , 
676146.067, 334254.933, 12.42, 0.482343, , 
676785.167, 334301.033, 12.52, 0.480528, , 
677567.800, 334366.667, 12.62, 0.478368, , 
678007.800, 334301.600, 12.72, 0.476470, , 
678411.533, 334316.000, 12.82, 0.475227, , 
679074.067, 334370.533, 12.92, 0.473397, , 
679119.333, 334342.233, 13.02, 0.473057, , 
679433.733, 334436.767, 13.12, 0.472651, , 
679556.967, 334344.667, 13.22, 0.471623, , 
679821.967, 334475.167, 13.32, 0.471624, , 
679344.433, 334267.400, 13.42, 0.471807, , 
679318.267, 334255.433, 13.52, 0.471813, , 
679047.900, 334246.067, 13.61, 0.472646, , 
678870.933, 334209.933, 13.71, 0.472989, , 
678719.600, 334268.300, 13.82, 0.473884, , 
677886.667, 334186.400, 13.91, 0.476096, , 
677663.100, 334248.800, 14.01, 0.477259, , 
676777.733, 334317.267, 14.11, 0.480662, , 
675760.567, 334262.200, 14.21, 0.483676, , 
674447.433, 334258.267, 14.31, 0.488026, , 
673168.867, 334399.833, 14.41, 0.493250, , 
670712.833, 334346.067, 14.51, 0.501113, , 
668113.433, 334258.600, 14.61, 0.509263, , 
664663.533, 334284.400, 14.71, 0.521088, , 
659586.000, 334245.800, 14.81, 0.538085, , 
656741.167, 334370.033, 14.91, 0.548649, , 
651205.833, 334371.233, 15.01, 0.567705, , 
644697.200, 334380.200, 15.11, 0.590371, , 
637765.500, 334437.267, 15.21, 0.615083, , 
629732.300, 334362.600, 15.31, 0.643106, , 
621159.500, 334346.100, 15.40, 0.673842, , 
611543.300, 334293.967, 15.50, 0.708602, , 
602238.767, 334318.433, 15.60, 0.743270, , 
592113.267, 334343.400, 15.70, 0.781597, , 
582398.867, 334345.667, 15.80, 0.818840, , 
572258.433, 334154.200, 15.90, 0.857079, , 
562569.400, 334272.333, 16.00, 0.896303, , 
552983.967, 334241.033, 16.10, 0.934768, , 
543950.367, 334254.733, 16.20, 0.971927, , 
536047.367, 334352.533, 16.30, 1.005521, , 
