 Position(mm),Ancestor_01_T1,Ancestor_02_T1,Ancestor_03_T1,Ancestor_01_T2,Ancestor_02_T2,Ancestor_03_T2,Evolved_01_T1,Evolved_02_T1,Evolved_03_T1,Evolved_01_T2,Evolved_02_T2,Evolved_03_T2,,,,
6.05,1.64935,1.973448,1.683511,1.571837,4.719958,3.861859,1.934023,1.569398,1.66073,1.2504,1.548824,2.341469,,,,
6.15,1.552687,1.857496,1.604806,1.485298,4.670592,3.751813,1.821844,1.483153,1.58392,1.183788,1.459677,2.220979,,,,
6.25,1.452689,1.76427,1.521001,1.403434,4.609826,3.629671,1.723607,1.412264,1.49523,1.121378,1.365817,2.091529,,,,
6.34,1.375228,1.666177,1.452348,1.33259,4.535787,3.500484,1.639298,1.342484,1.419581,1.067606,1.286964,1.989664,,,,
6.44,1.302682,1.570547,1.387891,1.263731,4.440561,3.370799,1.546744,1.282853,1.357672,1.013188,1.217891,1.888416,,,,
6.53,1.230361,1.483582,1.331144,1.193028,4.337327,3.235135,1.475034,1.221388,1.288262,0.96622,1.144206,1.789447,,,,
6.63,1.155926,1.40443,1.271496,1.131876,4.209333,3.105459,1.39696,1.173745,1.248935,0.925934,1.088612,1.686623,,,,
6.73,1.100319,1.32781,1.219678,1.072828,4.072669,2.955449,1.341095,1.130423,1.206355,0.882766,1.033222,1.607146,,,,
6.82,1.042005,1.259663,1.161846,1.019398,3.929838,2.819309,1.257242,1.094452,1.151868,0.847327,0.976412,1.518195,,,,
6.92,0.992968,1.199022,1.114666,0.965491,3.780568,2.668278,1.203254,1.049479,1.104222,0.813132,0.925125,1.437414,,,,
7.02,0.962534,1.150442,1.070166,0.923791,3.628567,2.528245,1.14302,1.01463,1.058932,0.784088,0.877929,1.361492,,,,
7.12,0.923814,1.095045,1.030858,0.878243,3.472564,2.400695,1.108177,0.972215,1.016178,0.755327,0.841784,1.287006,,,,
7.21,0.887185,1.042413,0.988926,0.841412,3.310169,2.277803,1.055402,0.936719,0.979035,0.729235,0.795204,1.216721,,,,
7.31,0.856891,1.001346,0.961854,0.80528,3.145876,2.148445,1.000139,0.9054,0.953907,0.704684,0.757144,1.16252,,,,
7.4,0.820283,0.954984,0.933999,0.772227,2.98624,2.010885,0.95611,0.882558,0.92165,0.685647,0.728155,1.114508,,,,
7.5,0.791239,0.917648,0.905768,0.742456,2.821397,1.890385,0.919344,0.857021,0.897592,0.66424,0.696628,1.047552,,,,
7.6,0.775358,0.887248,0.886177,0.714594,2.643744,1.774587,0.889368,0.833352,0.874691,0.640037,0.671967,0.999866,,,,
7.69,0.745765,0.856444,0.855921,0.686312,2.48835,1.67662,0.869656,0.811505,0.854244,0.617465,0.643873,0.956118,,,,
7.79,0.725071,0.828181,0.836062,0.662552,2.341279,1.581895,0.829206,0.795485,0.834881,0.601856,0.623019,0.913813,,,,
7.88,0.708198,0.805156,0.816388,0.639346,2.199885,1.491913,0.808286,0.775198,0.814334,0.588082,0.597233,0.869382,,,,
7.98,0.694557,0.780969,0.80109,0.6192,2.057821,1.40248,0.777746,0.758728,0.797947,0.574729,0.573674,0.826598,,,,
8.08,0.681719,0.75951,0.777849,0.600393,1.925483,1.32478,0.758886,0.747512,0.776712,0.561427,0.556954,0.788249,,,,
8.17,0.665894,0.741938,0.76557,0.581324,1.79919,1.25307,0.736655,0.730737,0.761375,0.545041,0.541292,0.754974,,,,
8.27,0.652572,0.726175,0.75155,0.564103,1.687617,1.180483,0.720345,0.713156,0.750325,0.532984,0.529041,0.731982,,,,
8.37,0.640023,0.709547,0.737645,0.549321,1.579687,1.112676,0.703153,0.699158,0.734683,0.520482,0.519732,0.695074,,,,
8.46,0.630004,0.695536,0.71985,0.533634,1.483646,1.053654,0.688486,0.685564,0.720114,0.509975,0.504363,0.670039,,,,
8.56,0.624285,0.682925,0.712281,0.522121,1.386761,1.004363,0.674241,0.673133,0.711658,0.499844,0.494371,0.646324,,,,
8.66,0.613418,0.671468,0.701733,0.511108,1.30444,0.953522,0.662434,0.663648,0.70155,0.490334,0.483834,0.627416,,,,
8.76,0.605147,0.659902,0.687783,0.49937,1.227101,0.907133,0.648667,0.654554,0.686513,0.483476,0.472123,0.598634,,,,
8.85,0.596093,0.649401,0.673934,0.485661,1.155624,0.865734,0.637788,0.64229,0.6748,0.475443,0.460758,0.574283,,,,
8.95,0.592706,0.640654,0.665505,0.479464,1.088947,0.826604,0.628897,0.632071,0.665914,0.468909,0.448526,0.556043,,,,
9.04,0.581704,0.631641,0.653724,0.470455,1.039633,0.790631,0.625035,0.623328,0.654096,0.463077,0.437129,0.538258,,,,
9.14,0.573968,0.622577,0.647342,0.462841,0.986924,0.76151,0.610582,0.611608,0.64681,0.457013,0.42714,0.527106,,,,
9.23,0.571038,0.613357,0.637535,0.456387,0.938723,0.730729,0.598352,0.601136,0.638184,0.451145,0.418499,0.513551,,,,
9.33,0.564594,0.604,0.629913,0.44859,0.897055,0.705861,0.586675,0.595048,0.630988,0.44774,0.408262,0.500884,,,,
9.43,0.557856,0.599345,0.62574,0.441893,0.854208,0.680189,0.583365,0.588159,0.623303,0.444341,0.404097,0.483151,,,,
9.52,0.552599,0.591936,0.618407,0.433116,0.81711,0.656843,0.57576,0.581377,0.620393,0.442132,0.397422,0.476664,,,,
9.62,0.546864,0.585122,0.609246,0.424224,0.77586,0.632872,0.567434,0.574925,0.610534,0.43961,0.391813,0.458749,,,,
9.72,0.540428,0.579895,0.604212,0.418524,0.739425,0.610684,0.563874,0.569594,0.605268,0.436093,0.386025,0.449897,,,,
9.81,0.541251,0.574801,0.595013,0.414616,0.718258,0.593064,0.554342,0.565633,0.603818,0.432924,0.380351,0.440322,,,,
9.91,0.539006,0.569638,0.589754,0.412891,0.68314,0.575564,0.551177,0.560186,0.593359,0.427615,0.375616,0.429697,,,,
10.01,0.536246,0.561648,0.581613,0.409017,0.666645,0.559237,0.543316,0.557251,0.589534,0.424381,0.373201,0.41949,,,,
10.11,0.528285,0.556939,0.576984,0.403866,0.652005,0.5453,0.53639,0.550713,0.585401,0.420526,0.36652,0.407876,,,,
10.2,0.524326,0.552069,0.57083,0.39748,0.632625,0.532026,0.529658,0.548708,0.579519,0.417768,0.365097,0.404162,,,,
10.3,0.518839,0.54784,0.564594,0.392539,0.608497,0.518068,0.525572,0.542708,0.577147,0.415052,0.360987,0.397994,,,,
10.39,0.514644,0.544011,0.560937,0.390562,0.59287,0.503849,0.520658,0.539501,0.56726,0.413723,0.358038,0.392077,,,,
10.49,0.509698,0.540758,0.555391,0.388742,0.572989,0.490722,0.514231,0.53316,0.568341,0.411073,0.35356,0.386602,,,,
10.59,0.505895,0.534329,0.549498,0.385716,0.557654,0.480544,0.511163,0.5311,0.559052,0.408888,0.353065,0.381314,,,,
10.68,0.501082,0.530811,0.544993,0.384509,0.536676,0.471057,0.502829,0.524765,0.55636,0.406725,0.349049,0.380236,,,,
10.78,0.498477,0.525548,0.538734,0.382424,0.51797,0.464505,0.501717,0.529214,0.549941,0.405825,0.348384,0.375586,,,,
10.87,0.495593,0.52364,0.532757,0.37909,0.506029,0.455066,0.496525,0.517506,0.545701,0.404995,0.345771,0.371607,,,,
10.97,0.493763,0.518928,0.526246,0.37636,0.502665,0.452629,0.494441,0.516202,0.546393,0.403959,0.343597,0.366588,,,,
11.07,0.492004,0.515914,0.522658,0.37561,0.487833,0.447712,0.490362,0.512238,0.538899,0.402326,0.340032,0.362987,,,,
11.16,0.489583,0.511473,0.519342,0.37244,0.477883,0.439689,0.485909,0.512111,0.536152,0.402327,0.340264,0.357036,,,,
11.26,0.486054,0.509423,0.513113,0.365503,0.469112,0.43317,0.480147,0.50466,0.53471,0.402307,0.337419,0.357611,,,,
11.36,0.484675,0.508473,0.511788,0.364363,0.461178,0.430047,0.477355,0.503259,0.527111,0.404532,0.33622,0.352885,,,,
11.46,0.478915,0.504896,0.50679,0.361959,0.451339,0.42957,0.475139,0.498397,0.52262,0.403524,0.335182,0.347431,,,,
11.55,0.477031,0.501727,0.502823,0.358765,0.443726,0.421895,0.472223,0.494408,0.520086,0.405262,0.335185,0.344859,,,,
11.65,0.474444,0.500553,0.504452,0.355502,0.443187,0.411728,0.46873,0.492591,0.518308,0.407231,0.334873,0.341965,,,,
11.75,0.472427,0.497599,0.497428,0.353628,0.436417,0.407494,0.468177,0.489731,0.516555,0.408603,0.335139,0.336951,,,,
11.84,0.468546,0.494833,0.493014,0.351317,0.429011,0.407538,0.463361,0.48789,0.51124,0.410935,0.335871,0.334244,,,,
11.94,0.467012,0.492601,0.491823,0.348574,0.428089,0.403021,0.462717,0.484685,0.507031,0.413464,0.337441,0.332159,,,,
12.03,0.464806,0.489717,0.490384,0.346498,0.417697,0.396162,0.457933,0.482343,0.502303,0.418316,0.337234,0.330818,,,,
12.13,0.461779,0.487832,0.486357,0.344565,0.417989,0.39145,0.454468,0.480528,0.500314,0.422335,0.341618,0.328612,,,,
12.22,0.460597,0.484873,0.483709,0.342793,0.408779,0.391464,0.451677,0.478368,0.496715,0.42676,0.343532,0.327254,,,,
12.32,0.456846,0.483605,0.480555,0.341829,0.402149,0.389329,0.45011,0.47647,0.498152,0.432923,0.346501,0.323242,,,,
12.42,0.455094,0.478764,0.478676,0.338901,0.399363,0.385195,0.445196,0.475227,0.494624,0.441555,0.350329,0.321872,,,,
12.51,0.450589,0.478602,0.475697,0.339553,0.396397,0.385193,0.444186,0.473397,0.493528,0.447276,0.353897,0.319482,,,,
12.61,0.450483,0.474692,0.474091,0.336789,0.398932,0.380976,0.441641,0.473057,0.49232,0.454655,0.357775,0.318677,,,,
12.71,0.447833,0.474609,0.469226,0.337954,0.396901,0.377996,0.441067,0.472651,0.49106,0.468826,0.362492,0.317865,,,,
12.81,0.445772,0.469818,0.467515,0.337994,0.39133,0.381028,0.439637,0.471623,0.490679,0.482922,0.367037,0.316435,,,,
12.9,0.44239,0.470614,0.466275,0.338067,0.389337,0.378448,0.437785,0.471624,0.49031,0.496746,0.372403,0.317269,,,,
13,0.440964,0.465169,0.463972,0.338058,0.381066,0.375607,0.435892,0.471807,0.490415,0.519065,0.380878,0.316918,,,,
13.1,0.436928,0.464178,0.461116,0.338143,0.377552,0.375983,0.437477,0.471813,0.4917,0.542137,0.38889,0.317877,,,,
13.19,0.4352,0.461053,0.459121,0.340109,0.374579,0.372947,0.434866,0.472646,0.492729,0.572446,0.399377,0.318394,,,,
13.29,0.432716,0.460239,0.457359,0.341629,0.374015,0.372264,0.435346,0.472989,0.494769,0.599548,0.409645,0.320353,,,,
13.38,0.431828,0.457486,0.456349,0.344794,0.376726,0.375227,0.435338,0.473884,0.495774,0.634779,0.423429,0.32171,,,,
13.48,0.428852,0.456034,0.454639,0.349152,0.376643,0.379883,0.434136,0.476096,0.498213,0.688513,0.441257,0.32599,,,,
13.58,0.429296,0.454336,0.453198,0.354596,0.37295,0.374701,0.434874,0.477259,0.500016,0.734863,0.461811,0.328711,,,,
13.67,0.426811,0.453556,0.452234,0.362436,0.371729,0.373367,0.4364,0.480662,0.50409,0.783027,0.485842,0.335093,,,,
13.77,0.42538,0.452723,0.45233,0.37129,0.370116,0.374637,0.437236,0.483676,0.508668,0.857304,0.512205,0.340442,,,,
13.86,0.424634,0.44932,0.45285,0.384053,0.369536,0.3766,0.43883,0.488026,0.513261,0.925506,0.543759,0.349716,,,,
13.96,0.4244,0.447999,0.453213,0.399206,0.36858,0.376068,0.439728,0.49325,0.519259,0.983784,0.582272,0.359023,,,,
14.06,0.42436,0.448983,0.454692,0.419115,0.368017,0.380102,0.443284,0.501113,0.525606,1.077807,0.62851,0.373004,,,,
14.16,0.424908,0.445657,0.458972,0.441308,0.367048,0.380151,0.446693,0.509263,0.534931,1.156356,0.681823,0.389832,,,,
14.25,0.425603,0.44497,0.463709,0.468646,0.368309,0.382307,0.452519,0.521088,0.545518,1.21338,0.738131,0.410465,,,,
14.35,0.429016,0.445248,0.470091,0.498512,0.369353,0.385274,0.457311,0.538085,0.558997,1.298361,0.798015,0.433234,,,,
14.45,0.432889,0.445324,0.47892,0.532386,0.370427,0.384797,0.464959,0.548649,0.574894,1.367755,0.863548,0.46241,,,,
14.54,0.437804,0.446437,0.489853,0.569971,0.371328,0.388711,0.474152,0.567705,0.594181,1.438134,0.930312,0.4971,,,,
14.64,0.443835,0.448118,0.503825,0.607285,0.373858,0.391546,0.484194,0.590371,0.616051,1.506265,1.012482,0.536953,,,,
14.73,0.452721,0.451633,0.520297,0.650819,0.375937,0.393073,0.498217,0.615083,0.641538,1.543584,1.085466,0.580303,,,,
14.83,0.466017,0.455859,0.539951,0.692705,0.378594,0.397723,0.512854,0.643106,0.669313,1.584011,1.164598,0.631508,,,,
14.93,0.479943,0.461628,0.563486,0.737576,0.381068,0.401396,0.531534,0.673842,0.70121,1.607332,1.233202,0.684855,,,,
15.02,0.497597,0.469031,0.590144,0.773844,0.386361,0.403364,0.551408,0.708602,0.73555,1.613997,1.288164,0.744292,,,,
15.12,0.520027,0.477151,0.619687,0.811362,0.388973,0.408077,0.576197,0.74327,0.773931,1.616371,1.342437,0.80305,,,,
15.21,0.546703,0.487227,0.653241,0.846331,0.394302,0.416331,0.599009,0.781597,0.81433,1.615151,1.396721,0.86964,,,,
15.31,0.574833,0.500367,0.686612,0.874665,0.399082,0.423164,0.6259,0.81884,0.854795,1.603703,1.441713,0.929293,,,,
15.41,0.610292,0.51704,0.725549,0.899594,0.40654,0.435928,0.655924,0.857079,0.897431,1.586543,1.467045,0.988525,,,,
15.5,0.647106,0.536493,0.76423,0.920403,0.413497,0.448043,0.684357,0.896303,0.941249,1.557588,1.482104,1.044467,,,,
15.6,0.687196,0.558547,0.80387,0.931955,0.423777,0.458724,0.714119,0.934768,0.984221,1.517937,1.493679,1.097345,,,,
15.7,0.734513,0.583495,0.843103,0.940129,0.436125,0.478986,0.74897,0.971927,1.02534,1.47663,1.488029,1.141247,,,,
15.8,0.780223,0.611592,0.883968,0.941138,0.451174,0.501631,0.775895,1.005521,1.065782,1.426278,1.46992,1.184182,,,,
15.89,0.830329,0.643906,0.921587,0.937319,0.471013,0.537092,0.808766,1.038006,1.099434,1.378357,1.442887,1.218706,,,,
